EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin9.inp                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00042; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 2

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.590 34.155  7.56    2.20    4.30    1.14    0.00    5.44  0.809
   2.069  0.473  9.31    2.39    1.28    1.23    0.00    2.51 5.873E-01

  10.590 31.381  7.56    1.53    1.86    0.69    0.00    2.56  0.796
   2.440  0.494  8.62    1.63   -1.68    0.75    0.00   -0.93 6.643E-01

  10.590 29.354  7.56    1.14   -0.06    0.48    0.00    0.42  0.789
   2.780  0.516  7.98    1.21   -4.04    0.51    0.00   -3.52 7.200E-01

  10.590 27.800  7.56    0.90   -1.70    0.36    0.00   -1.34  0.787
   3.092  0.537  7.39    0.96   -6.10    0.39    0.00   -5.70 7.564E-01

  10.590 26.564  7.56    0.75   -3.14    0.30    0.00   -2.84  0.793
   3.381  0.559  6.85    0.79   -7.91    0.33    0.00   -7.59 7.727E-01

  10.590 25.556  7.56    0.64   -4.43    0.27    0.00   -4.16  0.807
   3.648  0.580  6.35    0.68   -9.56    0.29    0.00   -9.27 7.704E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

