 x    Q2    F2n/F2p    error
   0.17   2.42   0.80453   0.00000
   0.19   2.72   0.77933   0.00000
   0.22   2.72   0.74738   0.00000
   0.25   3.08   0.71615   0.00000
   0.29   3.09   0.68473   0.00000
   0.32   3.15   0.66457   0.00000
   0.34   3.35   0.65122   0.00000
   0.38   3.46   0.62734   0.00000
