 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.316200554       4.50343561       21.7045002       2.99939990       4.04982948       4.32110023    
  0.331465662       4.69658804       22.0263004       3.03839993       3.63831401       3.83829975    
  0.350437075       4.93942070       22.4484997       3.07789993       3.16774273       3.29836631    
  0.369849056       5.20067883       22.9752007       3.09570003       2.70367122       2.78291678    
  0.389624953       5.47532415       23.5643997       3.10039997       2.27802658       2.31965661    
  0.409179598       5.74313402       24.1063995       3.10949993       1.93059051       1.94567442    
  0.427811950       5.97221947       24.4291992       3.14989996       1.69152713       1.68643522    
  0.443779796       6.16414976       24.6772003       3.18709993       1.51284444       1.49470258    
