 x    Q2    F2d/F2p    error
   0.17   2.42   1.78818   0.00000
   0.19   2.72   1.76601   0.00000
   0.22   2.72   1.73415   0.00000
   0.25   3.08   1.70416   0.00000
   0.29   3.09   1.66811   0.00000
   0.32   3.15   1.64366   0.00000
   0.34   3.35   1.62735   0.00000
   0.38   3.46   1.59917   0.00000
