 x    Q2    F2d/F2p    error
   0.17   2.42   1.79309   0.00000
   0.19   2.72   1.76656   0.00000
   0.22   2.72   1.73401   0.00000
   0.25   3.08   1.70083   0.00000
   0.29   3.09   1.66827   0.00000
   0.32   3.15   1.64636   0.00000
   0.34   3.35   1.63234   0.00000
   0.38   3.46   1.60819   0.00000
