EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
2H_1573.inp                                                             
                                                                        
Hall A 2018: 25 cm Deuterium target                                     
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=TRITIUM; ttarg(rl)=0.00114; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 Deut Elastic Model: ia,iamec,rsc,rscmec (1,2,3,4)=  3
 TJON DEUT ELASTIC FILESS TO BE OPEN=rscctj.tjon_input   rscqtj.tjon_input   rscmtj.tjon_input   
  12.541  1.002  0.87    0.00 -100.00   64.32    0.00  -35.68 6.933E-01

  15.730 10.000  5.99  146.46 -100.00   80.30    0.00  -19.70  1.000
  12.523  0.995  0.91  239.07 -100.00   65.85    0.00  -34.15 6.886E-01

  15.730 10.000  5.98   68.78 -100.00   81.74    0.00  -18.26  1.208
  12.504  0.987  0.96   98.70 -100.00   68.22    0.00  -31.78 6.635E-01

  15.730 10.000  5.97   48.13 -100.00   83.33    0.00  -16.67  1.750
  12.485  0.980  1.00   67.53 -100.00   69.94    0.00  -30.06 6.254E-01

  15.730 10.000  5.96   39.62 -100.00   85.12    0.00  -14.88  2.155
  12.467  0.973  1.05   55.37 -100.00   72.36    0.00  -27.64 5.769E-01

  15.730 10.000  5.95   36.02 -100.00   87.59    0.00  -12.41  2.436
  12.448  0.966  1.09   50.24 -100.00   76.58    0.00  -23.42 5.112E-01

  15.730 10.000  5.94   34.05 -100.00   89.92    0.00  -10.08  2.644
  12.429  0.959  1.13   47.48 -100.00   79.89    0.00  -20.11 4.551E-01

  15.730 10.000  5.93   19.05  -71.39   52.16    0.00  -19.23  2.740
  12.411  0.952  1.18   26.58  -80.74   46.72    0.00  -34.02 7.095E-01

  15.730 10.000  5.92   14.39  -60.28   40.00    0.00  -20.28  2.796
  12.392  0.946  1.22   20.05  -71.88   36.22    0.00  -35.67 8.346E-01

  15.730 10.000  5.91   11.43  -52.04   31.64    0.00  -20.40  2.784
  12.373  0.939  1.27   15.93  -64.81   29.14    0.00  -35.67 9.438E-01

  15.730 10.000  5.91    9.52  -46.26   25.94    0.00  -20.32  2.740
  12.355  0.932  1.31   13.28  -59.71   24.52    0.00  -35.19 1.036E+00

  15.730 10.000  5.90    8.12  -41.52   21.51    0.00  -20.02  2.665
  12.336  0.926  1.35   11.33  -55.38   20.47    0.00  -34.91 1.116E+00

  15.730 10.000  5.89    7.18  -37.99   18.44    0.00  -19.55  2.584
  12.318  0.919  1.40   10.02  -52.00   18.03    0.00  -33.97 1.173E+00

  15.730 10.000  5.88    6.49  -34.91   16.01    0.00  -18.89  2.484
