EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
2H_20999.inp                                                            
                                                                        
Hall A 2018: 25 cm Deuterium target                                     
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=TRITIUM; ttarg(rl)=0.00114; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 Deut Elastic Model: ia,iamec,rsc,rscmec (1,2,3,4)=  3
 TJON DEUT ELASTIC FILESS TO BE OPEN=rscctj.tjon_input   rscqtj.tjon_input   rscmtj.tjon_input   
  20.999 10.000 10.22    0.00 -100.00   76.89    0.00  -23.11  1.000
  16.016  1.093  0.01    0.00 -100.00   61.50    0.00  -38.50 7.804E-03

  20.999 10.000 10.20    0.00 -100.00   76.57    0.00  -23.43  1.000
  15.991  1.086  0.08    0.00 -100.00   61.11    0.00  -38.89 9.182E-03

  20.999 10.000 10.19    0.00 -100.00   76.91    0.00  -23.09  1.000
  15.966  1.079  0.14    0.00 -100.00   61.52    0.00  -38.48 1.036E-02

  20.999 10.000 10.17    0.00 -100.00   76.59    0.00  -23.41  1.000
  15.941  1.072  0.20    0.00 -100.00   61.10    0.00  -38.90 1.227E-02

  20.999 10.000 10.16    0.00 -100.00   76.44    0.00  -23.56  1.000
  15.916  1.065  0.26    0.00 -100.00   59.59    0.00  -40.41 1.436E-02

  20.999 10.000 10.14    0.00 -100.00   76.71    0.00  -23.29  1.000
  15.890  1.057  0.33    0.00 -100.00   61.25    0.00  -38.75 1.640E-02

  20.999 10.000 10.12    0.00 -100.00   76.56    0.00  -23.44  1.000
  15.865  1.051  0.39    0.00 -100.00   59.92    0.00  -40.08 1.918E-02

  20.999 10.000 10.11    0.00 -100.00   76.81    0.00  -23.19  1.000
  15.840  1.044  0.45    0.00 -100.00   61.38    0.00  -38.62 2.173E-02

  20.999 10.000 10.09    0.00 -100.00   76.74    0.00  -23.26  1.000
  15.815  1.037  0.52    0.00 -100.00   60.21    0.00  -39.79 2.511E-02

  20.999 10.000 10.07    0.00 -100.00   77.11    0.00  -22.89  1.000
  15.790  1.031  0.58    0.00 -100.00   61.76    0.00  -38.24 2.800E-02

  20.999 10.000 10.06    0.00 -100.00   77.61    0.00  -22.39  1.000
  15.764  1.024  0.65    0.00 -100.00   62.43    0.00  -37.57 3.076E-02

  20.999 10.000 10.04    0.00 -100.00   77.85    0.00  -22.15  1.000
  15.739  1.017  0.71    0.00 -100.00   61.95    0.00  -38.05 3.406E-02

  20.999 10.000 10.03    0.00 -100.00   78.68    0.00  -21.32  1.000
  15.714  1.011  0.77    0.00 -100.00   63.39    0.00  -36.61 3.570E-02

  20.999 10.000 10.01    0.00 -100.00   79.34    0.00  -20.66  1.000
  15.689  1.005  0.83    0.00 -100.00   64.70    0.00  -35.30 3.733E-02

  20.999 10.000  9.99  414.22 -100.00   80.62    0.00  -19.38  1.000
  15.664  0.998  0.90  889.86 -100.00   66.39    0.00  -33.61 3.711E-02

  20.999 10.000  9.98  100.05 -100.00   81.63    0.00  -18.37  0.831
  15.639  0.992  0.96  140.01 -100.00   67.74    0.00  -32.26 3.690E-02

  20.999 10.000  9.96   62.36 -100.00   83.38    0.00  -16.62  1.352
  15.614  0.986  1.02   85.07 -100.00   70.06    0.00  -29.94 3.488E-02

  20.999 10.000  9.95   47.59 -100.00   84.94    0.00  -15.06  1.800
  15.589  0.980  1.09   64.65 -100.00   72.13    0.00  -27.87 3.288E-02

  20.999 10.000  9.93   41.22 -100.00   87.12    0.00  -12.88  2.129
  15.564  0.974  1.15   55.99 -100.00   75.45    0.00  -24.55 2.991E-02

  20.999 10.000  9.91   13.61  -57.80   32.07    0.00  -25.72  2.372
  15.539  0.968  1.21   18.52  -71.02   28.31    0.00  -42.71 7.517E-02

  20.999 10.000  9.90    9.10  -48.17   22.83    0.00  -25.33  2.524
  15.514  0.962  1.27   12.40  -62.42   20.51    0.00  -41.91 9.654E-02

  20.999 10.000  9.88    6.76  -42.42   17.75    0.00  -24.67  2.644
  15.489  0.956  1.34    9.21  -57.02   15.92    0.00  -41.09 1.144E-01

  20.999 10.000  9.87    5.49  -38.21   14.58    0.00  -23.64  2.674
  15.464  0.950  1.40    7.49  -52.81   13.28    0.00  -39.53 1.262E-01

  20.999 10.000  9.85    4.76  -34.91   12.50    0.00  -22.42  2.646
  15.439  0.944  1.46    6.50  -49.42   11.58    0.00  -37.84 1.321E-01

