EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
4He_18.inp                                                              
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  4);   avgA =   4.000; amuM=  4.003; avgM=  3.728
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 2

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   5.766 18.000  1.95   12.47   -7.63    1.26    0.01   -6.35  0.109
   3.456  0.450  3.26   14.91  -13.91    1.37    0.01  -12.53 1.096E+01

   5.766 18.000  2.01   13.78   -8.75    1.59    0.00   -7.16  0.123
   3.554  0.483  3.03   16.65  -15.35    1.71    0.00  -13.63 9.389E+00

   5.766 18.000  2.06   15.55   -9.96    2.03    0.00   -7.92  0.138
   3.644  0.517  2.80   19.02  -16.85    2.17    0.00  -14.68 8.016E+00

   5.766 18.000  2.10   18.03  -11.23    2.64    0.00   -8.59  0.153
   3.727  0.550  2.60   22.31  -18.39    2.79    0.00  -15.60 6.796E+00

   5.766 18.000  2.15   21.49  -12.61    3.49    0.00   -9.12  0.168
   3.804  0.583  2.41   26.88  -19.98    3.64    0.00  -16.34 5.720E+00

   5.766 18.000  2.19   26.13  -14.16    4.66    0.00   -9.50  0.184
   3.876  0.617  2.24   33.06  -21.69    4.81    0.00  -16.88 4.787E+00

   5.766 18.000  2.22   32.32  -16.01    6.25    0.00   -9.75  0.198
   3.942  0.650  2.08   41.31  -23.61    6.38    0.00  -17.24 4.006E+00

   5.766 18.000  2.26   40.46  -18.26    8.37    0.00   -9.90  0.211
   4.004  0.683  1.93   52.23  -25.88    8.43    0.00  -17.45 3.368E+00

   5.766 18.000  2.29   51.05  -21.07   11.08    0.00   -9.99  0.220
   4.061  0.717  1.79   66.49  -28.61   11.03    0.00  -17.58 2.860E+00

   5.766 18.000  2.32   64.55  -24.54   14.40    0.00  -10.14  0.226
   4.115  0.750  1.65   84.76  -31.95   14.17    0.00  -17.78 2.470E+00

   5.766 18.000  2.35   81.80  -28.72   18.27    0.00  -10.46  0.225
   4.166  0.783  1.53  108.16  -35.95   17.76    0.00  -18.19 2.177E+00

   5.766 18.000  2.38  104.82  -33.63   22.65    0.00  -10.98  0.218
   4.214  0.817  1.41  139.45  -40.65   21.76    0.00  -18.89 1.950E+00

   5.766 18.000  2.40  137.95  -39.24   27.57    0.00  -11.67  0.201
   4.259  0.850  1.30  184.45  -45.99   26.19    0.00  -19.81 1.761E+00

   5.766 18.000  2.43  191.09  -45.58   33.15    0.00  -12.43  0.175
   4.301  0.883  1.20  256.57  -51.95   31.12    0.00  -20.83 1.589E+00

   5.766 18.000  2.45  289.18  -52.58   39.35    0.00  -13.22  0.137
   4.341  0.917  1.10  389.81  -58.41   36.52    0.00  -21.89 1.427E+00

   5.766 18.000  2.47  518.25  -59.90   45.86    0.00  -14.05  0.089
   4.379  0.950  1.01  703.77  -65.06   42.07    0.00  -23.00 1.274E+00

   5.766 18.000  2.49 1611.85  -67.07   52.15    0.00  -14.92  1.000
   4.415  0.983  0.92 2320.52  -71.49   47.32    0.00  -24.17 1.128E+00

   5.766 18.000  2.51    0.00  -73.59   57.74    0.00  -15.85  1.000
   4.450  1.017  0.84    0.00  -77.26   51.83    0.00  -25.43 9.866E-01

   5.766 18.000  2.53    0.00  -79.02   62.26    0.00  -16.76  1.000
   4.482  1.050  0.76    0.00  -82.03   55.35    0.00  -26.68 8.459E-01

   5.766 18.000  2.55    0.00  -83.36   65.76    0.00  -17.60  1.000
   4.513  1.083  0.68    0.00  -85.82   57.98    0.00  -27.84 7.053E-01

   5.766 18.000  2.56    0.00  -86.75   68.45    0.00  -18.29  1.000
   4.543  1.117  0.61    0.00  -88.76   59.95    0.00  -28.82 5.698E-01

   5.766 18.000  2.58    0.00  -89.38   70.56    0.00  -18.83  1.000
   4.570  1.150  0.54    0.00  -91.04   61.47    0.00  -29.58 4.488E-01

   5.766 18.000  2.59    0.00  -91.53   72.31    0.00  -19.22  1.000
   4.597  1.183  0.48    0.00  -92.89   62.75    0.00  -30.14 3.459E-01

   5.766 18.000  2.61    0.00  -93.33   73.84    0.00  -19.49  1.000
   4.623  1.217  0.42    0.00  -94.44   63.90    0.00  -30.53 2.633E-01

   5.766 18.000  2.62    0.00  -94.92   75.26    0.00  -19.66  1.000
   4.648  1.250  0.36    0.00  -95.79   65.01    0.00  -30.78 1.996E-01

   5.766 18.000  2.64    0.00  -96.37   76.62    0.00  -19.75  1.000
   4.671  1.283  0.30    0.00  -97.02   66.10    0.00  -30.92 1.512E-01

   5.766 18.000  2.65    0.00  -97.62   77.85    0.00  -19.77  1.000
   4.694  1.317  0.24    0.00  -98.06   67.11    0.00  -30.96 1.151E-01

   5.766 18.000  2.66    0.00  -98.54   78.77    0.00  -19.77  1.000
   4.715  1.350  0.19    0.00  -98.82   67.87    0.00  -30.95 8.841E-02

   5.766 18.000  2.67    0.00  -99.13   79.36    0.00  -19.77  1.000
   4.736  1.383  0.14    0.00  -99.30   68.36    0.00  -30.94 6.884E-02

   5.766 18.000  2.68    0.00  -99.49   79.72    0.00  -19.76  1.000
   4.756  1.417  0.09    0.00  -99.59   68.66    0.00  -30.93 5.408E-02

   5.766 18.000  2.70    0.00  -99.69   79.92    0.00  -19.77  1.000
   4.775  1.450  0.04    0.00  -99.75   68.82    0.00  -30.93 4.300E-02

   5.766 18.000  2.71    0.00 -100.00   80.26    0.00  -19.74  1.000
   4.794  1.483 -0.00    0.00 -100.00   69.11    0.00  -30.89 3.442E-02

   5.766 18.000  2.72    0.00 -100.00   80.26    0.00  -19.74  1.000
   4.812  1.517 -0.04    0.00 -100.00   69.11    0.00  -30.89 2.791E-02

   5.766 18.000  2.73    0.00 -100.00   80.26    0.00  -19.74  1.000
   4.829  1.550 -0.09    0.00 -100.00   69.12    0.00  -30.88 2.281E-02

   5.766 18.000  2.73    0.00 -100.00   80.27    0.00  -19.73  1.000
   4.845  1.583 -0.13    0.00 -100.00   69.13    0.00  -30.87 1.878E-02

   5.766 18.000  2.74    0.00 -100.00   80.27    0.00  -19.73  1.000
   4.861  1.617 -0.17    0.00 -100.00   69.13    0.00  -30.87 1.559E-02

   5.766 18.000  2.75    0.00 -100.00   80.27    0.00  -19.73  1.000
   4.877  1.650 -0.20    0.00 -100.00   69.14    0.00  -30.86 1.304E-02

   5.766 18.000  2.76    0.00 -100.00   80.28    0.00  -19.72  1.000
   4.892  1.683 -0.24    0.00 -100.00   69.15    0.00  -30.85 1.097E-02

   5.766 18.000  2.77    0.00 -100.00   80.28    0.00  -19.72  1.000
   4.906  1.717 -0.28    0.00 -100.00   69.16    0.00  -30.84 9.292E-03

   5.766 18.000  2.78    0.00 -100.00   80.29    0.00  -19.71  1.000
