EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin7.inp                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00042; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 23.934  5.42    1.39    4.65    0.64    0.01    5.30  0.756
   2.978  0.380  9.74    1.50    1.59    0.69    0.01    2.29 3.080E+00

  10.589 24.193  5.59    1.31    3.94    0.59    0.00    4.53  0.750
   3.007  0.393  9.51    1.41    0.75    0.63    0.00    1.38 2.788E+00

  10.589 24.536  5.82    1.22    3.18    0.52    0.00    3.71  0.743
   3.043  0.411  9.22    1.31   -0.18    0.56    0.00    0.39 2.441E+00

  10.589 24.905  6.06    1.13    2.35    0.47    0.00    2.82  0.736
   3.079  0.430  8.91    1.21   -1.19    0.50    0.00   -0.69 2.108E+00

  10.589 25.373  6.32    1.06    1.61    0.43    0.00    2.04  0.730
   3.095  0.450  8.62    1.13   -2.08    0.46    0.00   -1.62 1.788E+00

  10.589 25.920  6.60    1.01    0.93    0.39    0.00    1.32  0.725
   3.099  0.470  8.34    1.07   -2.91    0.42    0.00   -2.48 1.492E+00

  10.589 26.398  6.87    0.96    0.25    0.36    0.00    0.62  0.722
   3.109  0.489  8.05    1.02   -3.71    0.39    0.00   -3.32 1.256E+00

  10.589 26.716  7.11    0.90   -0.46    0.34    0.00   -0.12  0.721
   3.143  0.508  7.75    0.95   -4.58    0.36    0.00   -4.21 1.076E+00

  10.589 26.949  7.31    0.85   -1.09    0.31    0.00   -0.78  0.723
   3.181  0.526  7.47    0.90   -5.35    0.34    0.00   -5.01 9.376E-01

  10.589 27.259  7.53    0.81   -1.66    0.30    0.00   -1.36  0.725
   3.200  0.543  7.22    0.86   -6.03    0.32    0.00   -5.71 8.121E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

