 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.379657686       5.42260265       23.9339008       2.97779989       3.16477680       3.22784758       1.0199289321899414     
  0.393210858       5.59426594       24.1933002       3.00749993       2.86577916       2.89908314       1.0116212368011475     
  0.410975933       5.81955576       24.5361004       3.04310012       2.50955057       2.51307726       1.0014053583145142     
  0.430220634       6.06324577       24.9046993       3.07879996       2.16767764       2.14748740      0.99068576097488403     
  0.449715734       6.32390356       25.3733006       3.09549999       1.83801687       1.80359232      0.98127084970474243     
  0.469593465       6.60078049       25.9195004       3.09850001       1.53375793       1.49165356      0.97254824638366699     
  0.489064306       6.86510849       26.3983994       3.10870004       1.28992426       1.24352670      0.96403080224990845     
  0.508463144       7.10506868       26.7162991       3.14260006       1.10440099       1.05471241      0.95500856637954712     
  0.526184618       7.31498241       26.9491005       3.18079996      0.961881220      0.910667717      0.94675695896148682     
  0.542694867       7.52536058       27.2593002       3.19959998      0.832293034      0.782219231      0.93983632326126099     
