 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.277818054       3.96152306       20.3731995       2.99029994       8.26086426       9.06337166    
  0.291922688       4.14062500       20.6935005       3.03049994       7.44709396       8.06768513    
  0.310503513       4.37748861       21.1229992       3.07629991       6.47924519       6.91309595    
  0.329737604       4.63695621       21.6800995       3.09520006       5.49871254       5.78911304    
  0.349611968       4.91414452       22.3139992       3.09870005       4.59191132       4.77575493    
  0.369032055       5.17984200       22.8780003       3.10920000       3.87796903       3.98687887    
  0.387243748       5.40472794       23.2166004       3.15149999       3.39982843       3.45471096    
  0.403066963       5.59365225       23.4657993       3.19370008       3.04658365       3.06521511    
