x   Q2   Born_ineft   err   Born_f1f2   err  mark 
0.157812  2.24726  0  0  0  0  1
0.171685  2.42457  0  0  0  0  0
0.189689  2.66762  0  0  0  0  0
0.209486  2.94489  0  0  0  0  0
0.228503  3.20661  0  0  0  0  0
0.243483  3.39206  0  0  0  0  0
0.260968  3.61052  0  0  0  0  0
0.176445  2.50855  0  0  0  0  0
0.191147  2.69645  0  0  0  0  0
0.209684  2.94787  0  0  0  0  0
0.229536  3.22589  0  0  0  0  0
0.248467  3.48509  0  0  0  0  0
0.263651  3.67145  0  0  0  0  0
0.214537  3.046  0  0  0  0  0
0.23079  3.25381  0  0  0  0  0
0.249698  3.51055  0  0  0  0  0
0.269596  3.78879  0  0  0  0  0
0.288702  4.05051  0  0  0  0  0
0.305006  4.25001  0  0  0  0  0
0.322803  4.47117  0  0  0  0  0
0.239278  3.41479  0  0  0  0  0
0.252909  3.58869  0  0  0  0  0
0.270644  3.81468  0  0  0  0  0
0.289706  4.07314  0  0  0  0  0
0.309597  4.3507  0  0  0  0  0
0.328992  4.61665  0  0  0  0  0
0.346404  4.83063  0  0  0  0  0
0.361717  5.01831  0  0  0  0  0
0.277838  3.96185  0  0  0  0  0
0.292003  4.14171  0  0  0  0  0
0.310615  4.37917  0  0  0  0  0
0.329749  4.63749  0  0  0  0  0
0.349558  4.91352  0  0  0  0  0
0.369106  5.18179  0  0  0  0  0
0.387212  5.40487  0  0  0  0  0
0.403059  5.59498  0  0  0  0  0
0.31608  4.50171  0  0  0  0  0
0.331318  4.69481  0  0  0  0  0
0.350444  4.93853  0  0  0  0  0
0.36972  5.19879  0  0  0  0  0
0.389666  5.47627  0  0  0  0  0
0.409193  5.74332  0  0  0  0  0
0.427776  5.97244  0  0  0  0  0
0.443851  6.1638  0  0  0  0  0
0.379503  5.4196  0  0  0  0  0
0.393257  5.59404  0  0  0  0  0
0.410929  5.81797  0  0  0  0  0
0.430321  6.06369  0  0  0  0  0
0.449769  6.32424  0  0  0  0  0
0.469615  6.60012  0  0  0  0  0
0.489168  6.8662  0  0  0  0  0
0.508452  7.10549  0  0  0  0  0
0.525958  7.31193  0  0  0  0  0
0.542803  7.52747  0  0  0  0  0
0.456818  6.51388  0  0  0  0  0
0.471648  6.7017  0  0  0  0  0
0.490592  6.94215  0  0  0  0  0
0.510211  7.18905  0  0  0  0  0
0.529704  7.44919  0  0  0  0  0
0.549596  7.72347  0  0  0  0  0
0.569231  7.98808  0  0  0  0  0
0.588628  8.22769  0  0  0  0  0
0.607374  8.45029  0  0  0  0  0
0.623674  8.64956  0  0  0  0  0
0.53417  7.60994  0  0  0  0  0
0.550983  7.82237  0  0  0  0  0
0.570385  8.06828  0  0  0  0  0
0.590177  8.31601  0  0  0  0  0
0.609732  8.57382  0  0  0  0  0
0.629514  8.84609  0  0  0  0  0
0.649366  9.1147  0  0  0  0  0
0.668662  9.34977  0  0  0  0  0
0.687854  9.57798  0  0  0  0  0
0.705432  9.78794  0  0  0  0  0
0.722611  10.0119  0  0  0  0  0
0.597869  8.53188  0  0  0  0  0
0.611949  8.71053  0  0  0  0  0
0.630762  8.95026  0  0  0  0  0
0.650276  9.19518  0  0  0  0  0
0.670013  9.44285  0  0  0  0  0
0.689672  9.69972  0  0  0  0  0
0.709488  9.96723  0  0  0  0  0
0.729308  10.2328  0  0  0  0  0
0.748665  10.4694  0  0  0  0  0
0.768024  10.7008  0  0  0  0  0
0.786737  10.9253  0  0  0  0  0
0.802989  11.1315  0  0  0  0  0
0.675416  9.63371  0  0  0  0  0
0.691167  9.83295  0  0  0  0  0
0.71059  10.0798  0  0  0  0  0
0.730164  10.325  0  0  0  0  0
0.750067  10.5738  0  0  0  0  0
0.769745  10.8272  0  0  0  0  0
0.789384  11.0901  0  0  0  0  0
0.809171  11.3573  0  0  0  0  0
0.828996  11.5985  0  0  0  0  0
0.843755  11.7765  0  0  0  0  0
