5.766 0.7929 50 2.1014 0.012747
5.766 0.8571 50 1.9217 0.0096473
5.766 0.9198 50 1.6333 0.0075873
5.766 0.9808 50 1.3926 0.0079795
5.766 1.0403 50 1.2089 0.0076623
5.766 1.0985 50 0.9797 0.0047341
5.766 1.1551 50 0.82374 0.0039885
5.766 1.2104 50 0.67252 0.0036667
5.766 1.2645 50 0.5406 0.0023332
5.766 1.3172 50 0.42959 0.0021786
5.766 1.3687 50 0.3341 0.0019502
5.766 1.4191 50 0.26327 0.0017692
5.766 1.4682 50 0.19768 0.0010737
5.766 1.5163 50 0.14809 0.00092793
5.766 1.5634 50 0.10892 0.00081246
5.766 1.6094 50 0.075688 0.00068332
5.766 1.6543 50 0.053009 0.00058463
5.766 1.6985 50 0.036015 0.00047098
5.766 1.7415 50 0.026471 0.00054908
5.766 1.7837 50 0.018147 0.00044546
5.766 1.8251 50 0.012632 0.00038871
5.766 1.8655 50 0.0075629 0.00031956
5.766 1.9051 50 0.0050316 0.00024547
5.766 1.9441 50 0.0026285 0.00019325
5.766 1.9821 50 0.0014217 0.00014328
5.766 2.0194 50 0.00093668 0.00011166
5.766 2.0561 50 0.00076489 0.00010944
5.766 2.0919 50 0.00046654 9.7056e-05
5.766 2.1271 50 0.00026425 8.3424e-05
5.766 2.1617 50 0.00017147 5.5711e-05
5.766 2.1956 50 0.00010012 4.8334e-05
5.766 2.2288 50 6.5347e-05 3.8752e-05
5.766 2.2615 50 7.6979e-05 4.1025e-05
5.766 2.2935 50 5.4258e-05 2.658e-05
5.766 2.3559 50 2.0642e-05 2.9193e-05
