EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin9.inp                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00042; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=**

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 26.212  6.51    1.11    1.67    0.49    0.00    2.16  0.811
   2.991  0.457  8.63    1.18   -1.99    0.53    0.00   -1.45 1.542E+00

  10.589 26.475  6.70    1.05    1.10    0.46    0.00    1.55  0.805
   3.017  0.472  8.39    1.12   -2.68    0.49    0.00   -2.19 1.375E+00

  10.589 26.808  6.94    0.99    0.38    0.42    0.00    0.79  0.799
   3.049  0.491  8.09    1.05   -3.55    0.45    0.00   -3.10 1.182E+00

  10.589 27.154  7.19    0.93   -0.33    0.38    0.00    0.06  0.793
   3.080  0.510  7.78    0.98   -4.40    0.41    0.00   -3.99 1.007E+00

  10.589 27.583  7.45    0.88   -0.96    0.36    0.00   -0.61  0.789
   3.095  0.530  7.49    0.93   -5.17    0.38    0.00   -4.78 8.456E-01

  10.589 28.065  7.72    0.85   -1.58    0.34    0.00   -1.25  0.785
   3.101  0.549  7.21    0.89   -5.91    0.36    0.00   -5.54 7.017E-01

  10.589 28.511  7.99    0.81   -2.18    0.32    0.00   -1.86  0.784
   3.110  0.569  6.93    0.86   -6.62    0.35    0.00   -6.28 5.820E-01

  10.589 28.793  8.23    0.77   -2.79    0.31    0.00   -2.48  0.787
   3.141  0.589  6.63    0.81   -7.36    0.33    0.00   -7.03 4.917E-01

  10.589 29.044  8.45    0.74   -3.40    0.30    0.00   -3.10  0.792
   3.173  0.607  6.35    0.78   -8.09    0.32    0.00   -7.76 4.167E-01

  10.589 29.244  8.64    0.71   -3.90    0.29    0.00   -3.60  0.801
   3.202  0.623  6.10    0.75   -8.69    0.32    0.00   -8.37 3.606E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

