                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9829  18.9222  0.48885E+01  0.57598E+01  0.18213E+00  0.55777E+01  0.57552E+01  0.20735E+00  0.55478E+01
   10.5890   3.0274  19.2597  0.44607E+01  0.51801E+01  0.14743E+00  0.50327E+01  0.51583E+01  0.16709E+00  0.49912E+01
   10.5890   3.0767  19.7051  0.39507E+01  0.45115E+01  0.11310E+00  0.43984E+01  0.44744E+01  0.12749E+00  0.43469E+01
   10.5890   3.0956  20.3079  0.33886E+01  0.38130E+01  0.85469E-01  0.37275E+01  0.37679E+01  0.95848E-01  0.36720E+01
   10.5890   3.0993  20.9788  0.28653E+01  0.31819E+01  0.64495E-01  0.31174E+01  0.31339E+01  0.71976E-01  0.30619E+01
   10.5890   3.1100  21.5842  0.24477E+01  0.26850E+01  0.49388E-01  0.26356E+01  0.26363E+01  0.54860E-01  0.25814E+01
   10.5890   3.1574  21.9133  0.21956E+01  0.23805E+01  0.39556E-01  0.23410E+01  0.23303E+01  0.43743E-01  0.22865E+01
   10.5890   3.1981  22.1896  0.19955E+01  0.21430E+01  0.32703E-01  0.21103E+01  0.20925E+01  0.36032E-01  0.20565E+01
